test model relativeRisk haplotypeLength recFrac Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_ScoreTDT_minFreq10.00000_01 Training_ScoreTDT_minFreq10.00000_05 Training_ScoreTDT_minFreq10.00000_001 Training_ScoreTDT_minFreq10.00000_005 Training_mTDT1T_01 Training_mTDT1T_05 Training_mTDT1T_001 Training_mTDT1T_005 Training_mTDT1T_minFreq10.00000_01 Training_mTDT1T_minFreq10.00000_05 Training_mTDT1T_minFreq10.00000_001 Training_mTDT1T_minFreq10.00000_005 Training_mTDTP_01 Training_mTDTP_05 Training_mTDTP_001 Training_mTDTP_005 Training_mTDT1_01 Training_mTDT1_05 Training_mTDT1_001 Training_mTDT1_005 Training_mTDT1_minFreq10.00000_01 Training_mTDT1_minFreq10.00000_05 Training_mTDT1_minFreq10.00000_001 Training_mTDT1_minFreq10.00000_005 Training_mTDTYateAlpha_0.50000_01 Training_mTDTYateAlpha_0.50000_05 Training_mTDTYateAlpha_0.50000_001 Training_mTDTYateAlpha_0.50000_005 
PowerTwoLoci Threshold 2.0 1 0.0000000	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.53	0.27	0.34
PowerTwoLoci Threshold 2.4 1 0.0000000	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.41	0.55	0.35	0.4
PowerTwoLoci Threshold 2.6 1 0.0000000	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.57	0.34	0.41
PowerTwoLoci Modified 1.2 1 0.0000000	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.1	0.16
PowerTwoLoci Modified 1.6 1 0.0000000	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.31	0.45	0.18	0.27
PowerTwoLoci Modified 2.0 1 0.0000000	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.53	0.27	0.34
PowerTwoLoci Modified 2.4 1 0.0000000	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.41	0.55	0.35	0.4
PowerTwoLoci Modified 2.6 1 0.0000000	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.57	0.34	0.41
PowerTwoLoci Additive 1.2 2 0.0000000	0.54	0.67	0.42	0.52	0.51	0.62	0.39	0.47	0.51	0.64	0.4	0.47	0.54	0.68	0.42	0.51	0.54	0.68	0.42	0.51	0.55	0.66	0.45	0.51	0.55	0.71	0.42	0.51	0.55	0.71	0.42	0.51	0.53	0.67	0.42	0.51
PowerTwoLoci Additive 1.6 2 0.0000000	0.6	0.74	0.48	0.56	0.55	0.68	0.44	0.52	0.57	0.68	0.45	0.52	0.6	0.73	0.48	0.57	0.6	0.73	0.48	0.58	0.62	0.73	0.49	0.59	0.61	0.76	0.49	0.57	0.61	0.76	0.48	0.58	0.59	0.71	0.49	0.55
PowerTwoLoci Additive 2.0 2 0.0000000	0.63	0.76	0.53	0.61	0.6	0.73	0.49	0.57	0.61	0.73	0.5	0.58	0.66	0.77	0.51	0.6	0.66	0.77	0.51	0.6	0.65	0.77	0.54	0.62	0.68	0.81	0.53	0.62	0.68	0.81	0.53	0.62	0.63	0.75	0.53	0.61
PowerTwoLoci Additive 2.4 2 0.0000000	0.68	0.79	0.56	0.64	0.66	0.77	0.5	0.6	0.67	0.77	0.52	0.62	0.67	0.79	0.54	0.65	0.67	0.79	0.54	0.65	0.67	0.81	0.56	0.65	0.71	0.85	0.55	0.68	0.71	0.85	0.55	0.68	0.68	0.78	0.55	0.64
PowerTwoLoci Additive 2.6 2 0.0000000	0.71	0.82	0.59	0.67	0.69	0.78	0.53	0.63	0.69	0.78	0.54	0.65	0.7	0.82	0.57	0.66	0.7	0.82	0.57	0.66	0.7	0.8	0.6	0.69	0.74	0.85	0.58	0.69	0.74	0.85	0.58	0.68	0.7	0.81	0.58	0.68
PowerTwoLoci DomOrDom 1.2 2 0.0000000	0.45	0.57	0.35	0.41	0.42	0.54	0.27	0.36	0.43	0.54	0.31	0.37	0.48	0.61	0.32	0.43	0.48	0.61	0.32	0.43	0.46	0.6	0.36	0.41	0.5	0.67	0.34	0.43	0.5	0.67	0.34	0.43	0.44	0.57	0.35	0.4
PowerTwoLoci DomOrDom 1.6 2 0.0000000	0.62	0.72	0.55	0.59	0.59	0.69	0.42	0.56	0.6	0.69	0.44	0.57	0.62	0.72	0.51	0.59	0.62	0.72	0.52	0.59	0.62	0.72	0.54	0.59	0.61	0.76	0.53	0.59	0.61	0.76	0.53	0.59	0.6	0.71	0.53	0.58
