test model relativeRisk haplotypeLength recFrac YateTDT01 YateTDT05 YateTDT001 YateTDT005 Yate2TDT01 Yate2TDT05 Yate2TDT001 Yate2TDT005 YatepTDT01 YatepTDT05 YatepTDT001 YatepTDT005 Yatep2TDT01 Yatep2TDT05 Yatep2TDT001 Yatep2TDT005 LaplaceTDT01 LaplaceTDT05 LaplaceTDT001 LaplaceTDT005 Laplace2TDT01 Laplace2TDT05 Laplace2TDT001 Laplace2TDT005 Grouping01 Grouping05 Grouping001 Grouping005 sTDT01 sTDT05 sTDT001 sTDT005 TDT01 TDT05 TDT001 TDT005 propTDT01 propTDT05 propTDT001 propTDT005 logTDT01 logTDT05 logTDT001 logTDT005 TDT_m10_01 TDT_m10_05 TDT_m10_001 TDT_m10_005 WTDT01 WTDT05 WTDT001 WTDT005 WWTDT01 WWTDT05 WWTDT001 WWTDT005 EntTDT01 EntTDT05 EntTDT001 EntTDT005
PowerOneLocus Additive 6 1 0.0000000	0.318681	0.395604	0.230769	0.263736	0.318681	0.384615	0.230769	0.252747	0.318681	0.406593	0.230769	0.274725	0.318681	0.406593	0.230769	0.274725	0.318681	0.406593	0.230769	0.274725	0.318681	0.395604	0.230769	0.274725	0.318681	0.406593	0.230769	0.274725	0.318681	0.406593	0.230769	0.274725	0.318681	0.406593	0.230769	0.274725	0.230769	0.296703	0.175824	0.197802	0	0	0	0	0.318681	0.406593	0.230769	0.274725	0.406593	0.505495	0.263736	0.362637	0.340659	0.428571	0.241758	0.285714	0.384615	0.472527	0.307692	0.384615
PowerOneLocus Additive 6 1 0.0000500	0.12766	0.180851	0.0638298	0.12766	0.12766	0.170213	0.0638298	0.12766	0.12766	0.180851	0.0744681	0.12766	0.12766	0.180851	0.0744681	0.12766	0.12766	0.180851	0.0744681	0.12766	0.12766	0.180851	0.0638298	0.12766	0.12766	0.180851	0.0744681	0.12766	0.12766	0.180851	0.0744681	0.12766	0.12766	0.180851	0.0744681	0.12766	0.0851064	0.138298	0.0531915	0.0744681	0	0	0	0	0.12766	0.180851	0.0744681	0.12766	0.159574	0.297872	0.117021	0.159574	0.148936	0.191489	0.106383	0.138298	0.180851	0.244681	0.12766	0.148936
PowerOneLocus Additive 6 1 0.0001000	0.0625	0.114583	0.0208333	0.0520833	0.0520833	0.104167	0.0104167	0.0416667	0.0729167	0.125	0.0208333	0.0520833	0.0729167	0.125	0.0208333	0.0520833	0.0625	0.125	0.0208333	0.0520833	0.0625	0.125	0.0208333	0.0520833	0.0729167	0.125	0.0208333	0.0520833	0.0729167	0.125	0.0208333	0.0520833	0.0729167	0.125	0.0208333	0.0520833	0.0104167	0.0416667	0	0.0104167	0	0	0	0	0.0729167	0.125	0.0208333	0.0520833	0.104167	0.21875	0.0625	0.0833333	0.0833333	0.125	0.0416667	0.0729167	0.09375	0.177083	0.0729167	0.09375
PowerOneLocus Additive 6 1 0.0002000	0.103093	0.134021	0.0618557	0.0824742	0.0927835	0.134021	0.0618557	0.0824742	0.103093	0.134021	0.0618557	0.0824742	0.103093	0.134021	0.0618557	0.0824742	0.103093	0.134021	0.0618557	0.0824742	0.103093	0.134021	0.0618557	0.0824742	0.103093	0.134021	0.0618557	0.0824742	0.103093	0.134021	0.0618557	0.0824742	0.103093	0.134021	0.0618557	0.0824742	0.0721649	0.0927835	0.0412371	0.0515464	0	0	0	0	0.103093	0.134021	0.0618557	0.0824742	0.134021	0.216495	0.0927835	0.123711	0.103093	0.14433	0.0721649	0.103093	0.14433	0.175258	0.123711	0.123711
PowerOneLocus Additive 6 1 0.0004000	0.0326087	0.076087	0.0108696	0.0217391	0.0326087	0.076087	0.0108696	0.0217391	0.0326087	0.076087	0.0108696	0.0217391	0.0326087	0.076087	0.0108696	0.0217391	0.0326087	0.076087	0.0108696	0.0217391	0.0326087	0.076087	0.0108696	0.0217391	0.0326087	0.076087	0.0108696	0.0217391	0.0326087	0.076087	0.0108696	0.0217391	0.0326087	0.076087	0.0108696	0.0217391	0.0108696	0.0434783	0.0108696	0.0108696	0	0	0	0	0.0326087	0.076087	0.0108696	0.0217391	0.0543478	0.119565	0.0326087	0.0434783	0.0326087	0.0543478	0.0326087	0.0326087	0.0543478	0.0978261	0.0434783	0.0434783
PowerOneLocus Additive 8 1 0.0000000	0.348315	0.449438	0.224719	0.292135	0.337079	0.449438	0.213483	0.292135	0.370787	0.449438	0.247191	0.292135	0.370787	0.449438	0.247191	0.292135	0.359551	0.449438	0.224719	0.292135	0.359551	0.449438	0.224719	0.292135	0.370787	0.449438	0.247191	0.292135	0.370787	0.449438	0.247191	0.292135	0.370787	0.449438	0.247191	0.292135	0.235955	0.348315	0.202247	0.213483	0	0	0	0	0.370787	0.449438	0.247191	0.292135	0.460674	0.550562	0.325843	0.41573	0.404494	0.47191	0.280899	0.348315	0.426966	0.505618	0.303371	0.382022
PowerOneLocus Additive 8 1 0.0000500	0.115789	0.2	0.115789	0.115789	0.115789	0.2	0.105263	0.115789	0.115789	0.221053	0.115789	0.115789	0.115789	0.221053	0.115789	0.115789	0.115789	0.210526	0.115789	0.115789	0.115789	0.2	0.115789	0.115789	0.115789	0.221053	0.115789	0.115789	0.115789	0.221053	0.115789	0.115789	0.115789	0.221053	0.115789	0.115789	0.105263	0.136842	0.0631579	0.0736842	0	0	0	0	0.115789	0.221053	0.115789	0.115789	0.178947	0.347368	0.126316	0.147368	0.147368	0.210526	0.115789	0.126316	0.2	0.305263	0.168421	0.168421
PowerOneLocus Additive 8 1 0.0001000	0.0833333	0.166667	0.03125	0.0416667	0.0833333	0.166667	0.0208333	0.0416667	0.0833333	0.177083	0.03125	0.0520833	0.0833333	0.177083	0.03125	0.0520833	0.0833333	0.177083	0.03125	0.0520833	0.0833333	0.177083	0.0208333	0.0416667	0.0833333	0.177083	0.03125	0.0520833	0.0833333	0.177083	0.03125	0.0520833	0.0833333	0.177083	0.03125	0.0520833	0.0208333	0.0833333	0	0.0104167	0	0	0	0	0.0833333	0.177083	0.03125	0.0520833	0.125	0.229167	0.0625	0.114583	0.0729167	0.145833	0.0520833	0.0625	0.125	0.25	0.0729167	0.104167
PowerOneLocus Additive 8 1 0.0002000	0.103093	0.14433	0.0618557	0.0721649	0.0927835	0.14433	0.0618557	0.0618557	0.103093	0.14433	0.0618557	0.0824742	0.103093	0.14433	0.0618557	0.0824742	0.103093	0.14433	0.0618557	0.0824742	0.103093	0.14433	0.0618557	0.0824742	0.103093	0.14433	0.0618557	0.0824742	0.103093	0.14433	0.0618557	0.0824742	0.103093	0.14433	0.0618557	0.0824742	0.0721649	0.0927835	0.0412371	0.0515464	0	0	0	0	0.103093	0.14433	0.0618557	0.0824742	0.134021	0.247423	0.103093	0.134021	0.123711	0.175258	0.0721649	0.103093	0.164948	0.247423	0.123711	0.134021
PowerOneLocus Additive 8 1 0.0004000	0.0322581	0.0537634	0.0107527	0.0322581	0.0322581	0.0537634	0	0.0322581	0.0322581	0.0537634	0.0107527	0.0322581	0.0322581	0.0537634	0.0107527	0.0322581	0.0322581	0.0537634	0.0107527	0.0322581	0.0322581	0.0537634	0	0.0322581	0.0322581	0.0537634	0.0107527	0.0322581	0.0322581	0.0537634	0.0107527	0.0322581	0.0322581	0.0537634	0.0107527	0.0322581	0.0215054	0.0215054	0	0.0215054	0	0	0	0	0.0322581	0.0537634	0.0107527	0.0322581	0.0430108	0.0967742	0.0215054	0.0430108	0.0430108	0.0752688	0.0107527	0.0215054	0.0537634	0.0752688	0.0322581	0.0537634
