MAFSample2 mixProp haplotypeLength Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_ScoreTDT_minFreq10.00000_01 Training_ScoreTDT_minFreq10.00000_05 Training_ScoreTDT_minFreq10.00000_001 Training_ScoreTDT_minFreq10.00000_005 Training_mTDTP_01 Training_mTDTP_05 Training_mTDTP_001 Training_mTDTP_005 Training_mTDTP_minFreq10.00000_01 Training_mTDTP_minFreq10.00000_05 Training_mTDTP_minFreq10.00000_001 Training_mTDTP_minFreq10.00000_005 Training_mTDTP_indep_01 Training_mTDTP_indep_05 Training_mTDTP_indep_001 Training_mTDTP_indep_005 Training_mTDTP_indep_minFreq10.00000_01 Training_mTDTP_indep_minFreq10.00000_05 Training_mTDTP_indep_minFreq10.00000_001 Training_mTDTP_indep_minFreq10.00000_005 Training_ScoreTDTP_01 Training_ScoreTDTP_05 Training_ScoreTDTP_001 Training_ScoreTDTP_005 
0.1 0.5 1	0.01	0.05	0	0	0.01	0.05	0	0	0.01	0.05	0	0	0.01	0.05	0	0	0.01	0.05	0	0	0.01	0.05	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0
0.3 0.5 1	0	0.03	0	0	0	0.03	0	0	0	0.03	0	0	0	0.03	0	0	0	0.03	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5 0.5 1	0	0.03	0	0	0	0.03	0	0	0	0.03	0	0	0	0.03	0	0	0	0.03	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1 0.75 1	0.01	0.05	0	0	0.01	0.05	0	0	0.01	0.05	0	0	0.01	0.05	0	0	0.01	0.05	0	0	0.01	0.05	0	0	0	0.04	0	0	0	0.04	0	0	0	0	0	0
0.3 0.75 1	0.01	0.04	0	0	0.01	0.04	0	0	0.01	0.04	0	0	0.01	0.04	0	0	0.01	0.04	0	0	0.01	0.04	0	0	0	0.03	0	0	0	0.03	0	0	0	0	0	0
0.5 0.75 1	0	0.04	0	0	0	0.04	0	0	0	0.04	0	0	0	0.04	0	0	0	0.04	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1 0.833 1	0.02	0.05	0	0.01	0.02	0.05	0	0.01	0.02	0.05	0	0.01	0.02	0.05	0	0.01	0.02	0.05	0	0.01	0.02	0.05	0	0.01	0.01	0.02	0	0	0.01	0.02	0	0	0	0.01	0	0
0.3 0.833 1	0.01	0.05	0	0.01	0.01	0.05	0	0.01	0.01	0.05	0	0.01	0.01	0.05	0	0.01	0.01	0.05	0	0.01	0.01	0.05	0	0.01	0.01	0.01	0	0	0.01	0.01	0	0	0	0.01	0	0
0.5 0.833 1	0.01	0.04	0	0	0.01	0.04	0	0	0.01	0.04	0	0	0.01	0.04	0	0	0.01	0.04	0	0	0.01	0.04	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0
0.1 0.5 2	0.01	0.03	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.05	0.01	0.01	0.01	0.04	0.01	0.01	0.01	0.04	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01
0.3 0.5 2	0.01	0.03	0.01	0.01	0.01	0.03	0.01	0.01	0.02	0.03	0.01	0.02	0.02	0.03	0.01	0.02	0.01	0.05	0.01	0.01	0.01	0.05	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01
0.5 0.5 2	0	0.04	0	0	0	0.05	0	0	0	0.01	0	0	0	0.02	0	0	0	0.04	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1 0.75 2	0.01	0.06	0.01	0.01	0.01	0.06	0.01	0.01	0.01	0.06	0.01	0.01	0.01	0.07	0.01	0.01	0.01	0.05	0.01	0.01	0.01	0.05	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0.3 0.75 2	0.02	0.05	0.01	0.01	0.02	0.05	0.01	0.01	0.02	0.05	0.01	0.02	0.02	0.06	0.01	0.02	0.01	0.05	0.01	0.01	0.01	0.05	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01
0.5 0.75 2	0.01	0.04	0	0	0.01	0.04	0	0	0.01	0.05	0	0	0.01	0.05	0	0	0.01	0.04	0	0	0.01	0.04	0	0	0	0.01	0	0	0	0.01	0	0	0	0.01	0	0
0.1 0.833 2	0.03	0.04	0.01	0.03	0.03	0.04	0.01	0.03	0.03	0.05	0.01	0.02	0.03	0.07	0.01	0.02	0.02	0.04	0.01	0.01	0.02	0.04	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.01	0.01	0.01
0.3 0.833 2	0.03	0.04	0.01	0.02	0.03	0.04	0.01	0.02	0.03	0.04	0.01	0.02	0.04	0.05	0.01	0.02	0.01	0.04	0.01	0.01	0.01	0.04	0.01	0.01	0.01	0.04	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.01	0.01	0.01
0.5 0.833 2	0.03	0.04	0.01	0.02	0.03	0.04	0.01	0.02	0.02	0.04	0.01	0.01	0.02	0.04	0.01	0.01	0.02	0.05	0.01	0.01	0.02	0.05	0.01	0.01	0.01	0.03	0	0.01	0.01	0.03	0	0.01	0.01	0.02	0	0
0.1 0.5 4	0.02	0.06	0.02	0.02	0.02	0.05	0.01	0.02	0.02	0.06	0.01	0.01	0.03	0.07	0.01	0.01	0.04	0.04	0.02	0.04	0.04	0.04	0.02	0.03	0.04	0.04	0.02	0.02	0.04	0.04	0.02	0.02	0.02	0.05	0.02	0.02
0.3 0.5 4	0.02	0.04	0.01	0.01	0.02	0.04	0.01	0.01	0.02	0.03	0.01	0.02	0.02	0.04	0.01	0.02	0.02	0.04	0.01	0.01	0.02	0.04	0.01	0.01	0.02	0.03	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.02	0.01	0.01
0.5 0.5 4	0.01	0.04	0	0	0.01	0.04	0	0	0.01	0.04	0	0	0.01	0.06	0	0	0.01	0.05	0	0.01	0.01	0.05	0	0.01	0.01	0.03	0	0	0.01	0.03	0	0	0	0.03	0	0
0.1 0.75 4	0.02	0.06	0.02	0.02	0.02	0.06	0.02	0.02	0.01	0.06	0.01	0.01	0.03	0.1	0.01	0.01	0.02	0.07	0.02	0.02	0.02	0.07	0.02	0.02	0.02	0.06	0.02	0.02	0.02	0.06	0.02	0.02	0.02	0.03	0.02	0.02
0.3 0.75 4	0.02	0.04	0.01	0.01	0.02	0.04	0.01	0.01	0.02	0.04	0.01	0.01	0.02	0.06	0.01	0.01	0.02	0.07	0.01	0.01	0.02	0.07	0.01	0.01	0.02	0.05	0.01	0.01	0.02	0.05	0.01	0.01	0.01	0.02	0.01	0.01
0.5 0.75 4	0.02	0.08	0.01	0.01	0.02	0.09	0.01	0.01	0.02	0.06	0.01	0.01	0.03	0.09	0.01	0.01	0.02	0.06	0	0.01	0.01	0.06	0	0.01	0.01	0.05	0	0.01	0.01	0.04	0	0.01	0.01	0.02	0	0
0.1 0.833 4	0.02	0.07	0.01	0.02	0.02	0.07	0.01	0.02	0.02	0.06	0.01	0.02	0.03	0.09	0.02	0.02	0.03	0.06	0.01	0.02	0.03	0.06	0.01	0.02	0.02	0.05	0.01	0.01	0.02	0.04	0.01	0.01	0.01	0.03	0.01	0.01
0.3 0.833 4	0.02	0.07	0.01	0.01	0.02	0.07	0.01	0.01	0.01	0.05	0.01	0.01	0.04	0.06	0.01	0.02	0.03	0.07	0.01	0.01	0.03	0.07	0.01	0.01	0.01	0.04	0.01	0.01	0.01	0.04	0.01	0.01	0.01	0.02	0.01	0.01
0.5 0.833 4	0.02	0.04	0.01	0.01	0.02	0.07	0.01	0.01	0.02	0.06	0.01	0.01	0.02	0.08	0.01	0.02	0.02	0.09	0.01	0.01	0.02	0.09	0.01	0.01	0.02	0.06	0	0.01	0.01	0.04	0	0.01	0.01	0.02	0	0.01
0.1 0.5 6	0.01	0.07	0.01	0.01	0.01	0.09	0.01	0.01	0.01	0.06	0.01	0.01	0.03	0.13	0.01	0.02	0.03	0.07	0.01	0.02	0.03	0.07	0.01	0.02	0.02	0.07	0.01	0.01	0.02	0.07	0.01	0.01	0.02	0.07	0.02	0.02
0.3 0.5 6	0.01	0.06	0.01	0.01	0.01	0.06	0.01	0.01	0.01	0.04	0.01	0.01	0.02	0.09	0.01	0.02	0.02	0.09	0.01	0.01	0.02	0.08	0.01	0.01	0.02	0.07	0.01	0.01	0.02	0.07	0.01	0.01	0.02	0.06	0	0.01
0.5 0.5 6	0.01	0.04	0	0.01	0.01	0.06	0	0.01	0.01	0.04	0	0.01	0.01	0.06	0	0.01	0.01	0.08	0	0	0.01	0.08	0	0	0	0.06	0	0	0	0.06	0	0	0.03	0.07	0.01	0.03
0.1 0.75 6	0.03	0.07	0.01	0.02	0.03	0.09	0.01	0.02	0.02	0.1	0.01	0.01	0.02	0.12	0.01	0.02	0.02	0.09	0.02	0.02	0.02	0.08	0.02	0.02	0.02	0.08	0.01	0.02	0.02	0.07	0.01	0.02	0.03	0.04	0.01	0.02
