test model relativeRisk haplotypeLength recFrac Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_ScoreTDT_minFreq10.00000_01 Training_ScoreTDT_minFreq10.00000_05 Training_ScoreTDT_minFreq10.00000_001 Training_ScoreTDT_minFreq10.00000_005 Training_mTDT1T_01 Training_mTDT1T_05 Training_mTDT1T_001 Training_mTDT1T_005 Training_mTDT1T_minFreq10.00000_01 Training_mTDT1T_minFreq10.00000_05 Training_mTDT1T_minFreq10.00000_001 Training_mTDT1T_minFreq10.00000_005 Training_mTDTP_01 Training_mTDTP_05 Training_mTDTP_001 Training_mTDTP_005 Training_mTDT1_01 Training_mTDT1_05 Training_mTDT1_001 Training_mTDT1_005 Training_mTDT1_minFreq10.00000_01 Training_mTDT1_minFreq10.00000_05 Training_mTDT1_minFreq10.00000_001 Training_mTDT1_minFreq10.00000_005 Training_mTDTYateAlpha_0.50000_01 Training_mTDTYateAlpha_0.50000_05 Training_mTDTYateAlpha_0.50000_001 Training_mTDTYateAlpha_0.50000_005 
PowerTwoLoci Additive 2.4 1 0.0000000 0.34 0.41 0.26 0.28 0.34 0.41 0.26 0.28 0.34 0.41 0.26 0.28 0.34 0.41 0.26 0.28 0.34 0.41 0.26 0.28 0.34 0.41 0.26 0.28 0.34 0.41 0.26 0.28 0.34 0.41 0.26 0.28 0.34 0.41 0.25 0.28
PowerTwoLoci Additive 2.4 1 0.0000500 0.22 0.33 0.11 0.17 0.22 0.33 0.11 0.17 0.22 0.33 0.11 0.17 0.22 0.33 0.11 0.17 0.22 0.33 0.11 0.17 0.22 0.33 0.11 0.17 0.22 0.33 0.11 0.17 0.22 0.33 0.11 0.17 0.22 0.32 0.11 0.17
PowerTwoLoci Additive 2.4 1 0.0001000 0.06 0.1 0.02 0.03 0.06 0.1 0.02 0.03 0.06 0.1 0.02 0.03 0.06 0.1 0.02 0.03 0.06 0.1 0.02 0.03 0.06 0.1 0.02 0.03 0.06 0.1 0.02 0.03 0.06 0.1 0.02 0.03 0.05 0.1 0.02 0.03
PowerTwoLoci Additive 2.4 1 0.0001500 0.06 0.14 0.01 0.05 0.06 0.14 0.01 0.05 0.06 0.14 0.01 0.05 0.06 0.14 0.01 0.05 0.06 0.14 0.01 0.05 0.06 0.14 0.01 0.05 0.06 0.14 0.01 0.05 0.06 0.14 0.01 0.05 0.06 0.14 0.01 0.04
PowerTwoLoci Additive 2.4 1 0.0002000 0.1 0.18 0.05 0.08 0.1 0.18 0.05 0.08 0.1 0.18 0.05 0.08 0.1 0.18 0.05 0.08 0.1 0.18 0.05 0.08 0.1 0.18 0.05 0.08 0.1 0.18 0.05 0.08 0.1 0.18 0.05 0.08 0.1 0.18 0.05 0.07
PowerTwoLoci Additive 2.6 1 0.0000000 0.31 0.41 0.27 0.3 0.31 0.41 0.27 0.3 0.31 0.41 0.27 0.3 0.31 0.41 0.27 0.3 0.31 0.41 0.27 0.3 0.31 0.41 0.27 0.3 0.31 0.41 0.27 0.3 0.31 0.41 0.27 0.3 0.31 0.39 0.27 0.3
PowerTwoLoci Additive 2.6 1 0.0000500 0.25 0.3 0.15 0.19 0.25 0.3 0.15 0.19 0.25 0.3 0.15 0.19 0.25 0.3 0.15 0.19 0.25 0.3 0.15 0.19 0.25 0.3 0.15 0.19 0.25 0.3 0.15 0.19 0.25 0.3 0.15 0.19 0.25 0.3 0.14 0.19
PowerTwoLoci Additive 2.6 1 0.0001000 0.05 0.08 0.02 0.03 0.05 0.08 0.02 0.03 0.05 0.08 0.02 0.03 0.05 0.08 0.02 0.03 0.05 0.08 0.02 0.03 0.05 0.08 0.02 0.03 0.05 0.08 0.02 0.03 0.05 0.08 0.02 0.03 0.05 0.08 0.02 0.03
PowerTwoLoci Additive 2.6 1 0.0001500 0.05 0.16 0.01 0.05 0.05 0.16 0.01 0.05 0.05 0.16 0.01 0.05 0.05 0.16 0.01 0.05 0.05 0.16 0.01 0.05 0.05 0.16 0.01 0.05 0.05 0.16 0.01 0.05 0.05 0.16 0.01 0.05 0.05 0.15 0.01 0.04
PowerTwoLoci Additive 2.6 1 0.0002000 0.08 0.2 0.06 0.08 0.08 0.2 0.06 0.08 0.08 0.2 0.06 0.08 0.08 0.2 0.06 0.08 0.08 0.2 0.06 0.08 0.08 0.2 0.06 0.08 0.08 0.2 0.06 0.08 0.08 0.2 0.06 0.08 0.08 0.2 0.06 0.08
PowerTwoLoci DomOrDom 1.2 1 0.0000000 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.19 0.24
